ID,English,Others,Japanese
aweeklater,A week later...,After this text is disappeared..,一週間後...
backhospital,"Mr. Ted, you are back! Thanks to Ghost Lord you are alright. Luna told some evil spirit got you on your last expedition. Please be careful when you are dealing with bad ghosts. Not everyone is as friendly as me.",There you are you freaking bastard! Don't you ever think you got rid of me just because I'm dead. What's this? You already got a new girlfriend? I'm going to kill you.,たいちくん、戻ってきました!幽霊の王様のおかげです!つきこちゃんは、あなたが悪霊に襲われたと教えてくれました。幽霊に対処するときは気をつけてください。誰もが私ほど友好的ではありません。
changamebust,"Hey, this game is made by Luna and her friend. It's launched already? Why didn't she tell me? The graphics are looking so realistic. I better buy one myself before all stores run out of copies.",Hahaha... this game is funny. She will die again after getting fucked by such huge dick. Hmm... I have seen Tsukiko playing this one earlier. I will later borrow it from her.,ねえ、このゲームはつきこと彼女の上司によって作られました。もう発売されましたか？なぜ彼女は私に教えてくれなかったのですか？グラフィックはとてもリアルに見えます。在庫が無くなる前に買ったほうが良いでしょう。
changamebustb,Not surprise she still plays this game. It's most realistic ghost hunting game I have ever played. I was lucky buy it when it was available. Luna said they are having little trouble making more copies of this game.,She still stuck on this ghost? She must be very bad at catching ghosts.,これは私が今までプレイした中で最高のエロゲームです。彼らは本物の幽霊を作るという素晴らしい仕事をしてくれました。ほぼすべての幽霊を捕まえました。
chanbustghost01,"Amazing! It's graphics are ultra realistic, gameplay is fun and very addictive. I must ask Luna if they are planning to add VR support to it.",We don't fuck this ghost then why is it there?,VR サポートも追加してほしいと願っています。傑作となるでしょう。
chanbustghost02,Hahahah..... They model tutorial ghost after Luna. Look at her ass... I feel like slapping it. Argh! I'm feeling horny.,Yeah it's Tsukiko getting banged. I won't be able to fuck her ass again after transferring Kaori's soul to her body. I better ram it while I can.,へへ...彼らは「ルナ」に倣ってチュートリアルのゴーストをモデル化しています。彼女のかわいいお尻を見てください。
chanbustghost1,I surprised they have shown accurate method of capturing a powerghost. Doing it butt is quite risky but best way to capture her.,I surprised they have shown accurate method of capturing a powerghost. Doing it butt is quite risky but best way to capture her.,彼らが「パワーゴースト」を捕獲する正確な方法を示したことには驚きました。これを行うのはかなり危険ですが、彼女を捕まえる最善の方法です。
chanbustghost2,"Yeah, her crouch is quite soft compare to her whole body. This is the first time I have paid attention to her body.","Yeah, her crouch is quite soft compare to her whole body. This is the first time I have paid attention to her body.",はい、彼女のしゃがみは全身に比べてかなり柔らかいです。彼女に腹筋があることに今まで気づかなかった。
chanbustghost3,Easiest ghost too catch. It's advised to keep lights on or you she may get you in the dark.,Easiest ghost too catch. It's advised to keep lights on or you she may get you in the dark.,捕まえやすい幽霊。 ただし...暗闇では絶対に試してはいけません。
chanbustghost4,What? That's it. You are suppose to plunge that knife in her back to bind her to the ground or she will elongate her tongue and suck out your blood.,What? That's it. You are suppose to plunge that knife in her back to bind her to the ground or she will elongate her tongue and suck out your blood.,何！なぜ彼らは呪われた短剣を使わないのでしょうか？彼女はこうしてあなたの血を吸い取るでしょう。
chanbustghost5,I like how it's most accurate ghost they have made. You gotta be careful of any big reflective surfaces if you are hunting her.,I like how it's most accurate ghost they have made. You gotta be careful of any big reflective surfaces if you are hunting her.,彼女を捕まえている間は鏡に近づいてはいけません。彼女はそこであなたを待ち伏せする準備ができています。
chanbustghost6,Hahaha.... it's funny detail to add headphones to your character to get some protection from her blood curdling screams. She is my favourite ghost to hunt.,Hahaha.... it's funny detail to add headphones to your character to get some protection from her blood curdling screams. She is my favourite ghost to hunt.,うーん...彼女は私のお気に入りの幽霊です。彼女をキャプチャするときにヘッドフォンを着用するディテールが大好きです。
chanbustghost7,This ghost is beautiful and yet creepy. Her face is backwards which make her more scary. But why she has short hairs?,This ghost is beautiful and yet creepy. Her face is backwards which make her more scary. But why she has short hairs?,は！これは正しくない。彼女には短い髪がありません。
chanbustghost8,"No. no. no. this is not how you banish her. If you use only your hands to stretch her ass, she will tighten her ass and rip your cock. Unless.... you have super strong hands.",Mrs. Hirakawa really likes my dick. Even as a ghost she can’t stay away from me.,彼らは何をしていますか？彼女を性交している間、彼女のお尻を伸ばさないと、彼女はあなたのペニスを引き裂いてしまいます。
chanbustghost9,Hmmm.... there shouldn't be any liquid covering your cock if you penetrate her. She is literally fire. Unless you use a special salt you will get your dick roasted.,Hmmm.... there shouldn't be any liquid covering your cock if you penetrate her. She is literally fire. Unless you use a special salt you will get your dick roasted.,彼女は火の幽霊です。特別な塩を使わないとチンコが焼けてしまいます。
chanbustghost10,Really disappointed... Thought it would be more of a challenge to capture her but it's like taking a walk in the park.,Really disappointed... Thought it would be more of a challenge to capture her but it's like taking a walk in the park.,くそ！彼らは彼女を捕まえるのをとても簡単にしました。
channosig,Poor signal? Something must be wrong with this channel.,"Fucking, hell. No signal....",劣悪な信号？このチャンネルには何か問題があります。
chanoff,It's off.,It's turned off.,オフです。
drunkgirlcum1,Whyyyyyy do I feel so warm down there? Hehe... must be becoz of all the booze I am drinking......,Oh you came... great! Now wipe it out and do it again.,お尻が温かく感じるのはなぜですか?ふふ…酒のせいだろうね。
drunkgirlcum2,Emmmillly.... Emily.... she's gone?,Can’t rely on Emily for anything. I have to do this thing on my own.,えみり…えみり…逝ってしまったの？
drunkgirlcum3,Zzzzzzzz....... zzzzzzzz............,I will take a nap while you are getting ready. Zzzzzzzzzzzzzzz.....,グーグー...
drunkgirlfuck1,Ooooooooo........ yeahhhhh...... it feels gooooooooooddddddd!!!!!!!,It felt realllll..... heee... heee.... did you recoooord it? Lettttt'sss take... another shotttt.... justttt to be suuu- ssssuuuuuu- ssuuuure.,ああああ……気持ちいいですね。
drunkgirlfuck2,Ahhhhhh..... why don't you recoooorrrrd it? I would wuv to make my boi frendddd jealus......,Don'ttt telll my boyyyfrieeeeendd it's fffff... fake. I wanna see hissss faccccce red with jjjjjjealooooouse.,ねえ、録音してみませんか？彼氏を嫉妬させたいです。
drunkgirlfuck3,Ummmmm..... it must be realllllly good quality. It feeeels like realll skin.,You will know the pppppainnnnn likeee I didddddd when you chhhettt cheeeeatttt on meee.... you fuuuu freaking bassstard.,えみりちゃん、本物の皮でできてるの？偽物という感じはしないんですが。
drunkgirlidle1,Go.... onn.... I'm ready... ,Hey youuuuuu....! We thought youuu were too scared t- to cooooommmmme.... here. I can't waiiiittttttt.... to cheeeat on my boyfriend. Hop on! Fill myyyy womb with your co- cooooockkkk. Hee.. Hee...,さあ…やってみましょう…
drunkgirlidle2,Y-you are not talking much... Are y.. are you angry with me?,You were right... da- da- daddy. That guy is suuuuuch scumbaggg.... But don't worry. I knoooowwwwww.... how to ex- exact my revenge. Ohhh..... you came.... Welllll. I got no use of this mayyyooooo. Let'ssss doooo... it.,あなたはあまり話していません。あなたは私に怒っていますか？
drunkgirlidle3,Why would he cheat on me.... (sniff.. sniff...) why?,You are heeeerrrrreee..... Let's doooo it. Weeeee are faking like in the mooooviiiesss right? Don't forgettttttt to recordddd it.,なぜ彼は私を浮気するのでしょうか?(鼻を鳴らして...鼻を鳴らして...)
drunkgirlintro,"Emily... you are back, hehe... can I.... can I try that toy now.... and ow.. ow... please be gentle with it.... It's my first time doing such thing.",Ahhh finaly... Someone to fuck me. I don’t care if you are a complete stranger but I want that dick inside me. Quick! Hop on...,えみりちゃんが帰ってきました。ふふ…その新しいおもちゃを試してみましょう。ああ、優しくしてください。エッチなことをするのは初めてです。
ghost1talka1,How you like that? You are so weak I would not need my hands you levitate you off the ground.,How you like that? You are so weak I would not need my hands you levitate you off the ground.,どうですか？あなたはとても弱いので、あなたを浮かせるのに私の手は必要ありません。
ghost1talka2,"Hey! You passed out already! Gosh, you are such a weakling.","Hey! You passed out already! Gosh, you are such a weakling.",おい、もう気絶したのか？なんてことだ、なんて弱虫なんだ！
ghost1talka3,I will go easy on you so that I wont break your thing.,I will go easy on you so that I wont break your thing.,私はあなたに気楽に行きます。
ghost1talkb1,Hey.... what do you thing am I? A flying carpet. Get off me right now!,Hey.... what do you thing am I? A flying carpet. Get off me right now!,おい！私を何だと思う？空飛ぶ絨毯だ。今すぐ私から離れてください！
ghost1talkb2,"I will be a good ghost,daddy! Just take your protection off.",I will be a good ghost daddy! Just take your protection off.,私は良い幽霊になりますが、どうか...その保護を受け取ってください。
ghost1talkb3,Umm... It’s fun but you are a bit heavy for me to carry.,Umm... It’s fun but you are a bit heavy for me to carry.,うーん...あなたは私が持ち歩くには重すぎます。
ghost2talka1,What’s that human? Don’t worry! Even though my skin is rough my crouch is soft and smooth.,What’s that human? Don’t worry! Even though my skin is rough my crouch is soft and smooth.,心配しないでください、私のしゃがむのは柔らかく滑らかです。
ghost2talka2,You are too weak to fight wrestle with me. So this is fine.,You are too weak to fight wrestle with me. So this is fine.,あなたは私と格闘するにはとても弱いので、代わりに私たちがそうしましょう。
ghost2talka3,Oh my... Look how your cock is twitching. It really liked this Kupper pussy.,Oh my... Look how your cock is twitching. It really liked this Kupper pussy.,ああ、君はクッパーのマンコが好きなんだね。
ghost2talkb1,Human making love with Kupper. Does human like Kupper?,Human making love with Kupper. Does human like Kupper?,人間はクッパーと愛し合っています。人間はクッパーをガールフレンドにしたいということですか？
ghost2talkb2,Kupper enjoying this. Human not being rough with me like Kuppers.,Kupper enjoying this. Human not being rough with me like Kuppers.,クッパーはこれを楽しんでいます。人間はクッパーにあまり乱暴ではありません。
ghost2talkb3,"I... love human cock... Does human love me? Yes, why would else we would be doing this...","I... love human cock... Does human love me? Yes, why would else we would be doing this...",人間のクソクッパー。 人間の愛のクッパーを意味しますか？
ghost3talka1,Oh... I’m being too rough. I’m sorry I will be gentle.,Oh... I’m being too rough. I’m sorry I will be gentle.,ごめんなさい、そんなに強く締めるつもりはなかったのです。
ghost3talka2,Please play more with me. I will give you more handjobs if you want.,Please play more with me. I will give you more handjobs if you want.,もっと遊んでください、たっぷり手コキしてあげるから。
ghost3talka3,I love your hard cock. It feels good in my hand.,I love your hard cock. It feels good in my hand.,あなたのチンポはとても硬いです、私の手にはとても気持ちいいです。
ghost3talkb1,Hahhh.... it feels sooo... good. I never had this good sex in years.,Hahhh.... it feels sooo... good. I never had this good sex in years.,ついに私を愛してくれる人が現れました。何年もこんな気持ちになったことはありませんでした。
ghost3talkb2,Ohhh... thank you so much... I thought no one will love me after I’m dead.,Ohhh... thank you so much... I thought no one will love me after I’m dead.,本当にありがとう。私が死んだら誰も私を愛してくれるとは思わなかった。
ghost3talkb3,Now we are one... Nothing can separate us.,Now we are one... Nothing can separate us.,私たちは今、一つの存在です。誰も私たちを引き離すことはできません。
ghost4talka1,Your blood is so fresh. No wonder you have such a hard cock.,Your blood is so fresh. No wonder you have such a hard cock.,あなたの血はとても温かいです。あなたがこんなに硬いチンポを持っているのも不思議ではありません。
ghost4talka2,Oh my! It’s so tasty I hope I don’t drink all of it by an accident.,Oh my! It’s so tasty I hope I don’t drink all of it by an accident.,ああ、とても美味しいので、全部飲んでしまわないようにしたいと思います。
ghost4talka3,Nothing beats sucking blood and huge cock inside your pussy on chilly night.,Nothing beats sucking blood and huge cock inside your pussy on chilly night.,寒い夜に血を吸い、マンコの中に巨大なチンポを挿入すること以上に素晴らしいことはありません。
ghost4talkb1,You... you have done it. We are married from now on.,You... you have done it. We are married from now on.,あなたは...やり遂げました。今、私たちは永遠に結婚しています。
ghost4talkb2,My husband ripped my favourite dress. Hmm... Doesn’t matter husband will buy me a new one.,My husband ripped my favourite dress. Hmm... Doesn’t matter husband will buy me a new one.,夫が私の服を破れました。夫は私に新しい服をくれるでしょうか？
ghost4talkb3,I will be good wife. Even better than what you have imagined.,I will be good wife. Even better than what you have imagined.,私は夫が求めた最高の妻になります。
ghost5talka1,"Hah....! Human 0, Ghost 1. I can do it all night.","Hah....! Human 0, Ghost 1. I can do it all night.",ハッ!人間-0 幽霊-1...これなら一晩中できるわ。
ghost5talka2,"Hey, don’t slow down now. You killing all the fun.","Hey, don’t slow down now. You killing all the fun.",おい、速度を落とさないでください。あなたはすべての楽しみを台無しにしています。
ghost5talka3,"Yeah, I love it in my butt. I wish you have two cocks. It would have been a lot of fun to take both of them at once.","Yeah, I love it in my butt. I wish you have two cocks. It would have been a lot of fun to take both of them at once.",ああ、あなたは私の尻を引き裂いています。もっと楽しむためにもっと大きなコックがあればいいのにと思います。
ghost5talkb1,"Hey, no.... That hole is off limits. Stop... I don’t like this one bit.","Hey, no.... That hole is off limits. Stop... I don’t like this one bit.",いいえ、その穴は立ち入り禁止です。私はこれが少し好きではありません。
ghost5talkb2,My ass is much tighter than my pussy. Please use it. It’s not much fun doing it there.,My ass is much tighter than my pussy. Please use it. It’s not much fun doing it there.,私のお尻は私のマンコよりもきついです。代わりに使ってください。
ghost5talkb3,"Hey, at least let me pick up my phone. I wanna take a selfie of us.","Hey, at least let me pick up my phone. I wanna take a selfie of us.",少なくとも携帯電話を取り上げさせてください。あなたが私をかがめたときに落としてしまいました。
ghost6talka1,Oh... it's great when you are riding a massive cock while singing with your heart. I'm not letting you go anywhere until I cum or my song is finished.,Oh... it's great when you are riding a massive cock while singing with your heart. I'm not letting you go anywhere until I cum or my song is finished.,あなたの巨大なコックのおかげで、私はとてもエネルギーを持って歌うことができます。この曲が終わるまで射精しないでください。
ghost6talka2,Darling! Why are you covering your ears? Maybe if I increase my pitch you will find my voice more soothing.,Darling! Why are you covering your ears? Maybe if I increase my pitch you will find my voice more soothing.,ダーリン！どうして耳を塞いでるの、ふふ？私の甘い声が好きじゃないの？
ghost6talka3,Your struggle is futile. I have pinned you down. You must listen to my entire song even if it kills you. At least you are going happily.,Your struggle is futile. I have pinned you down. You must listen to my entire song even if it kills you. At least you are going happily.,無駄だよ、私の歌が終わるまで君は去らないよ。
ghost6talkb1,Gluck... Gluck.... do you think it will stop me from singing? Well you are damn right.,Gluck... Gluck.... do you think it will stop me from singing? Well you are damn right.,それで私が歌うのをやめられると思いますか？まあ、あなたの言う通りです。
ghost6talkb2,"Hey, don't deepthroat me like this. You will ruin my sweet voice. How I'm gonna lure my victims with inharmonious voice.","Hey, don't deepthroat me like this. You will ruin my sweet voice. How I'm gonna lure my victims with inharmonious voice.",そんなふうに私をディープスロートしないでください、私の声帯を傷つけるでしょう。
ghost6talkb3,What kind of sorcery is this? I’m not able to bite your dick. In fact I want you to thrust it deep inside my mouth and choke me with your cum.,What kind of sorcery is this? I’m not able to bite your dick. In fact I want you to thrust it deep inside my mouth and choke me with your cum.,これは何の魔術ですか? あなたのペニスに噛めません。
ghost6talkc1,Fuck! How do you know this secret? I thought this secret would be safe after I shredded that machine girl.,Fuck! How do you know this secret? I thought this secret would be safe after I shredded that machine girl.,どうして私の秘密を知っているの?機械少女なら秘密にしてくれると思ったのに。
ghost6talkc2,"Damn it, human! Just you dare cum inside me like this. I'm gonna fuck you so hard once I catch next time. For now just... just focus on what you are doing.","Damn it, human! Just you dare cum inside me like this. I'm gonna fuck you so hard once I catch next time. For now just... just focus on what you are doing.",くそったれ、人間！もしあなたが私に中出ししたら、次にあなたを捕まえたとき、私はもっと激しくあなたを犯します。
ghost6talkc3,"Lord of Ghosts! My sweet voice, it's gone! I sound like a pathetic human now. You ruined my dress. So in return I will ruin your cock. It's fair thing to do.","Lord of Ghosts! My sweet voice, it's gone! I sound like a pathetic human now. You ruined my dress. So in return I will ruin your cock. It's fair thing to do.",バンシープの主よ！私の甘い声は消えました。私の声は今では哀れな人間のようになっています。
ghost6talkd1,What kind of pervert are you? How could you record such private act for people to see? What kind of sick pleasure do you get with that?,What! You are selling our video online for 150 coins? You should ask more for it since it's me.,あなたは何ですか、変態ですか?どうやってそのような親密な行為を記録できますか?それからある種の病的な快感を得ますか?
ghost6talkd2,"Damn you! I'm not looking into the camera with a lewd face. Oww.... okay, okay... I do it. Just don't pull my hairs like that again.",Do you want me make lewd faces looking at the camera? Fuck off! I'm not doing that for you sick pleasure.,くたばれ！カメラの前でエロい顔をしているわけではありません。
ghost6talkd3,Ohh.... I'm so ashamed of myself for letting you do this to me without my cloths. If any of other Bansheeps see me getting pounded by a human I'm going to be a joke in Bansheep world.,Fuck! If any other Bansheeps find out I had a baby with you I will become their laughing stock.,私はあなたにこんなことをさせられてとても恥ずかしいです。もしバンシープが私をこんなふうに見たら、私はバンシープの世界で冗談になるでしょう。
ghost7talka1,(Writing on book...) Don't my boobs feels like a butt mister? I love to it when I make someone cum using them.,(Writing on book...) Don't my boobs feels like a butt mister? I love to it when I make someone cum using them.,....
ghost7talka2,(Writing on book...) You are under my control for now. You can't escape until you cum all over my boobs.,(Writing on book...) You are under my control for now. You can't escape until you cum all over my boobs.,....
ghost7talka3,(Writing on book...) Your cock is the biggest I have ever encountered. I'm wondering how it will feel losing my virginity to it.,(Writing on book...) Your cock is the biggest I have ever encountered. I'm wondering how it will feel losing my virginity to it.,....
ghost7talkb1,(Writing on book...) Oh... you are cock is thrashing my pussy really hard. I didn't expect it give me this much pleasure.,(Writing on book...) Oh... you are cock is thrashing my pussy really hard. I didn't expect it give me this much pleasure.,....
ghost7talkb2,"(Writing on book...) Hey, don't fondle my breasts while you are humping me. It's getting me more horny.","(Writing on book...) Hey, don't fondle my breasts while you are humping me. It's getting me more horny.",....
