ID,English,Others,Japanese
jankengirl1,Rose:,Akahana:,あかはな :
jankengirl2,Judy:,Junsa:,じゅんさ:
jankengirl3,Athena:,Azusa:,あずさ:
jankengirl4,Suzy:,Shizuka:,しずか:
jankengirl5,Jennifer:,Juko:,じゅこ :
playername1,You:,MR Protagonist:,あなた：
akahanaintro11,Mr. Mac... why did you wake me up? I was sleeping tight. If you wanted to have sex I pulled Athena's panties to get you going.,"Mr. Kawamura, I thought you will not wake me up if I pulled Azusa's panties down to make you excited.",川村さん、なぜ起こしたのですか？ ぐっすり眠っていました。 あずさのパンツを下ろしたら、代わりに君が彼女とセックスしてくれると思ったんだ。
akahanaintro12,What! And I thought this idiot was trying to... never mind. I'm going to sleep.,"What! I thought that idiot had some kind of death wish. Anyway, since these are already down you might as-",何！あのバカが私とセックスするつもりだったのかと思った。気にしないで、私は寝るつもりです。
akahanaintro13,"Rose, I'm making a new show. Butt Sex Janken! It has same rule as the poker game show.",I'm not interested in her butt right now. I want something soft and squishy like your but. Let's play Butt Sex Janken.,あかはなちゃん、新しい番組を作っています。お尻セックスじゃんけん。ポーカーゲームと同じルールです。
akahanaintro14,And you decided to challenge me. You know I have only lost twice in previous show right? That will be a walk in park.,With same poker rules? You know I have X-ray vision right? I will not let anyone win. Even once.,そしてあなたは私に挑戦することに決めました。前回のショーで私が負けたのは2回だけですよね？簡単になりますよ。
akahanaintro15,"Yeah, but this time, it will be you who will be picking a card first every time.",Actually... you can't use your power in this one because you are the one who have to pick a card first.,はい、でも今回は、毎回最初にカードを選ぶのはあなたです。
akahanaintro16,Hmph! I can't use my special power then. If you wanted to fuck my butt you should have just asked.,What a load of... You might as well just play my sex scene if you restricting me like that.,ふん！それでは特別な力は使えません。私のお尻を性交したいなら、あなたはただ尋ねるべきでした。
akahanaintro17,"Anyway, even if I lose, I want a lunch from Kara's restaurant.","Everytime I lose, I want a free lunch from Kanachan's restaurant you got that.",とにかく、負けてもかなちゃんのお店のランチが食べたいです。
akahanaintro21,"Hey, Rose do you wanna-","Hey, Akahana do you wanna-",おい、あかはなちゃん、やりたいか?
akahanaintro22,Yes! As long as you get me another lunch from Kara's.,Yes! As long as I'm getting free lunch everyday from Kanachan's. I will lose for no reason.,はい、レストランに連れて行ってくれるなら。
akahanaintro23,"(Sigh...) Here goes my peaceful sleep again. You guys continue, I gonna work on a new volume of my manga.",Why the fuck do you pick her to play? I think LAGS forgot that I dominated voting poll. She wasn't even in one.,(ため息…)睡眠を妨げてくれてありがとう。続けてください、私は漫画の新しい巻に取り組むつもりです。
akahanawon,Even with my super power restricted I still won. Hehe..,I don't even need to use my X-ray vision. Hehe...,スーパーパワーが制限されていても、私はまだ勝ちました。ふふふ。
akahanalost,"Make sure you take me to Kara's restaurant tomorrow. Okay, you can fuck my butt while I sleep.","Make sure you take me to Kanachan's restaurant tomorrow. Okay, let's make Azusa jealous.",明日は必ずかなちゃんのレストランに連れて行ってください。わかった、私が寝ている間に私のお尻を犯してもいいよ。
junsaintro11,"You are late mister! As a punishment, you have to fuck me for extra 30 minutes.",Where the hell were you? I was desperately waiting here for your cock. Hurry up and unzip your pants.,遅れました、ミスター！罰として、あなたは私をさらに30分間セックスするつもりです。
junsaintro12,I'm sorry teacher! I was busy editing a episode of my new show.,Uhh... how about we spice things up with a game?,先生ごめんなさい！私は新しい番組のエピソードを編集するのに忙しかったです。
junsaintro13,Yeah! I have seen it yesterday. Well... I will forgive you if you... let me participate in it.,A game? That sound fun. Tell me more about it.,うん！昨日見てきました。そうですね…参加させていただけるなら許します。
junsaintro14,"I would absolutely love too. I don't know why I didn't think of it. Anyway, it's rules are similar to poker game show.","Yeah, it's same as poker game but we play janken instead. With each turn either you get cloths or lose it.",私も絶対に大好きです。最初にあなたに尋ねるべきでした。とにかく、ルールはポーカーゲームショーに似ています。
junsaintro15,Well then! I'm familiar with the rules. Let's begin! (Whispering..) Try to get my pattern.,"Fuck! So it depends on you whether you fuck me or not but... I will follow a pattern, you get that.",じゃあ！私はルールをよく知っています。さぁ、始めよう！(ささやき..)私のパターンを理解してみてください。
junsaintro21,You are here on time! What shall I teach you today?,You are here? So which hole you wanna fuck today? My tight ass or less but still tight  pussy.,時間通りに来ていますね！今日は何を教えましょうか？
junsaintro22,Uhh... teacher... can we play Butt Sex Janken? It will take only fives minutes then you can teach me whatever you want.,"Yeah, but let's play butt sex janken so principal will think we are doing it for show.",あの…先生…おしりセックスじゃんけんしてもいいですか？たった5分しかかからないので、好きなことを教えてください。
junsaintro23,Alright... just make sure you win so you can fuck my ass while I teach you.,Right... last time I was able to convince her some how but she will not listen this time.,わかった...私が教えている間、あなたが私のお尻を犯すことができるように、必ず勝ってください。
junsawon,What! You lost! As a punishment you won't get to fuck me today.,I was following a pattern and yet this idiot couldn't get my hints.,何！あなたが負けた！罰として、今日は私とセックスできません。
junsalost,That was fun! Now time for the most exciting part of the show. Let's fuck right here...,"Thank goodness! He picked up the hints I gave you. Come on, I can't wait anymore.",それは楽しかった！さて、ショーの最もエキサイティングな部分の時間です。ここで性交しましょう...
azusaintro11,Hey! I'm wearing your Tshirt. If you want it back you gotta win it in your stupid game show.,"Hey, I'm wearing your Tshirt! I'm not going to return it unless you take it yourself.",おい！私はあなたのシャツを着ています。返して欲しいなら、私と一緒に愚かなゲームをしてください。
azusaintro12,Umm... aren't you getting late for you work?,"Well, you can have it. I got few more I can wear today.",えっと…仕事に遅れてないですか？
azusaintro13,Yes. You wouldn't want me to get late for work right? Then play your stupid game with me.,"What! When Akahana does it, you two always end up having sex. Am I not pretty?",はい。私が仕事に遅刻するのは嫌ですよね？それなら私と一緒にあなたの愚かなゲームをしてください。
azusaintro14,"Athena please, I don't have much funding for this show. I will not be able to pay you if you win.","Yeah, but you are Tsundere character. As per rules, until you don't express your feeling MC is going to ignore you.",志々目さんお願いします、この番組にはあまり資金がありません。勝ってもお金は払えません。
