ID,English,Others,Japanese
mainmenu,Menu,Menu,メニュー
returnmenu,Main Menu,Main Menu,タイトル画面に戻る
collection,Collections,Collections,コレクション
ghostpedia,Ghostpedia,Ghostpedia,幽霊情報
conclusion,Conclusion,Conclusion,結論
resume,Resume,Resume,再開する
options,Options,Options,オプション
optionstitle,Options:-,Options:-,オプション:-
musics,Music,Music,遊び方
sounds,Sound,Sound,音
voices,Voice,Voice,声
back,Back,Back,戻る
howtoplay,How To Play,How To Play,遊び方
ojectives,Objectives:-,Objectives:-,客観的：-
objdes1, Survive a ghost hunt., Don’t get fucked by  a ghost.,幽霊狩りから生き残る。
objdes2, Take a photo of ghost using motion camera., Take a photo of ghost using motion camera.,モーションカメラで心霊写真を撮る。
objdes3, Get an EMF reading., Get an EMF reading.,モーションカメラで心霊写真を撮る。
objdes4, Get a candle extinguished by a ghost., Get a candle extinguished by a ghost.,幽霊によってろうそくの火が消えてしまう。
objdes5, Get fear meter to 70% or more., Get fear meter to 70% or more.,恐怖メーターが70%を超えます。
objdes6, Do K.T.E. with luna., Fuck Tsukiko’s ass.,つきこと一緒にKTEをしてください。
objdes6a, Have sex with Wendy., Have sex with Kaori.,かおりとセックスする。
objdes7, Use incense stick in the ghost room., Use incense stick in the ghost room.,幽霊部屋でお線香を使います。
objdes8, Travel more than 250m., Travel more than 250m.,250メートル以上移動します。
tvchannels,TV Channels:-,TV Channels:-,テレビチャンネル：-
chan1,Kara Loft : Final Episode,Kara Loft Goblin Gangbang,源くみ-最後のエピソード
chan2,50 Days Anal Sex,Ass Fucking a Hot Milf,50日間のアナルセックス
chan3,No Extraction,Zombie Game DLC,
chan4,Spy Files,Spy XXX Files,
chan5,Discreet Clappers,Secret Fuck,
lunacloth,Collected Cloths:-,Collected Cloths:-,布:-
cloth1,College Uniform ,College Uniform ,大学の制服
cloth2,Ragged Cloths,Akahana’s Cloths,ボロボロの布
cloth3,Lust Outfit,Lust Outfit,ラシの服
cloth4,Bree’s Cosplay ,Bree’s Cosplay ,
cloth5,White T-Shirt,White T-Shirt,白いTシャツ
cloth6,Red Kat Gang ,Red Kat Gang ,赤猫団
cloth7,Maid Uniform ,Maid Uniform ,
cloth8,Sexy Cloths ,Sexy Cloths ,
flashdrive,Flash Drives:-,Flash Drives:-,USBドライブ:-
fdrive1,Luna's Flash Drive,Tsukiko's Flash Drive,つきこのフラッシュドライブ
fdrive2,Mac’s Flash Drive,Masuo’s Flash Drive,ますおのフラッシュドライブ
fdrive3,Olivia's Flash Drive,Yoshimi’s Flash Drive,よしみのフラッシュドライブ
fdrive4,Spy's Flash Drive,Spy's Flash Drive,
fdrive5,Bailey's Flash Drive,Bailey's Flash Drive,
fdrive6,LAGS Flash Drive,LAGS Flash Drive,
fdrive7,Tess's Flash Drive,Tess's Flash Drive,
recruits,Recruits:-,Recruits:-,新兵:-
recgirl1,Sabrina (x2 Subscribers),Sawako (x2 Subscribers),さわこ(チャンネル登録者数2倍)
recgirl2,Lust (Thermometer upgrade),Lust (Thermometer Upgrade),ラシ(体温計のアップグレード)
recgirl3,Nina (KTE may heal fear or HP),Nabiki (KTE may heal fear or HP),なびき(KTEは治るかも)
recgirl4,Liz (2x Stamina),Liz (2x Stamina),
recgirl5,"Tess (x1.5 Reward Money,Assist)",Tatsuka (x1.5 Reward Money),たつか(契約時に役立ちます)
recgirl6,Irene (Rescues If Hunted),Izumi (Rescues If Hunted),いずみ(一度助けて)
recgirl7,Mandy (Faster Ghost Banishment),Mandy (Faster Ghost Banishment),
ghostype,Ghost Type:-,Ghost Type:-,幽霊:-
ghostname0,Wendy,Future Wife,かおり
ghostname1,Powerghost,Poltergeist,パワーゴースト
ghostname2,Kupper,Kappa,クッパー
ghostname3,Shy,Shade,シャイ
ghostname4,Countlanak,Kuntilanak,カウントラナク
