ID,English,Others,Japanese
pokergirlname1,Judy:,Junsa:,じゅんさ:
pokergirlname2,Athena:,Azusa:,あずさ:
pokergirlname3,Suzy:,Shizuka:,しずか:
pokergirlname4,Homeless Girl:,Homeless Girl:,ホームレスの女の子:
pokergirlname4a,Rose:,Akahana:,あかはな :
pokergirlname5,Jennifer:,Juko:,じゅこ :
pokerplayername,You:,MR Protagonist:,あなた：
judyvicf11,Whoa! Such a tight ass would have gone to waste if I didn't hosted you on this show. Your husband is a-,"Wow, your ass is so fucking tight! Your husband never fucked it in his life?",あなたのお尻はとてもきついです！あなたの夫はあなたのお尻を犯したことがないのですか？
judyvicf12,Please don't remind me of my husband right now. I already brought his name to shame having sex with you.,Yes! He often ask me try it just for one time. I didn't know it was this fun or I would have let him.,お願いします、あなたが私をめちゃくちゃにしている間、私の夫のことは考えたくないのです。私はすでに彼を裏切ったことを残念に思っています。
judyvicf21,Please forgive me love. I'm letting another man inside me.,Please forgive me love. But I can stop enjoying this sturdy dick. It's much bigger than yours.,許してください、ハニー。他の男が私を犯しています。
judyvicf22,Do you want me to call him here to hold your hand or something?,You know this show's episodes are available in my erotic shop right? I husband could easily find your episodes.,彼に電話か何かしてほしいですか？
judyvicf23,No! I don't wanna hurt him by showing this side of me.,He only watches news or animes. I haven't ever seen him with single erotic material.,いいえ、私は彼にこんな私を見させて彼の心を傷つけたくありません。
judyvicf31,I’m being fucked for ,I’m being fucked for ,私は
judyvicf31a, minutes. Aren't you gonna cum any time soon? I'm already exhausted., minutes. Don't cum anytime soon. I want you to fuck me for hours.,分間犯されています。私の夫でさえ私をこれほど犯したことはありません。
judyvicf31b, hours. Please cum already. I have to go home., hours. I'm reaching my limit. Please cum already.,時間犯され続けます。私の夫でさえ私をこれほど犯したことはありません。
judyvicf31c, days. I told him I will be home after shopping. He must be worried sick about me., days. Oh dear! My husband is calling. I told him I will be going only for an hour.,日間犯されました。私の夫でさえ私をこれほど犯したことはありません。
judyvicf31d, weeks. At this point I'm wondering how we are surviving without basic human needs., weeks. How are we surviving without any basic needs?,週間犯されました。私の夫でさえ私をこれほど犯したことはありません。
