ID,English,Others,Japanese
tabname1,Tess's Ghostpedia,Tatsuka's Ghostpe...,立香のゴーストペディア
tabname2,VideoTube,VideoTubeXXX,ビデオチューブ
ghosturl,https://www.tessghostpedia.com/,https://www.tatsukaghostpedia.com/,https://www.tatsukaghostpedia.com/
pagenotf,Page Not Found!,这网站被黑了！,ページが見つかりません！
opt1,The page you were looking for may have been moved or deleted.,Information on this page was compromised. Admin have disabled this page for a moment.,お探しのページは移動または削除された可能性があります。
opt2,Error 404,Error 69,エラー69
homepage,Home,Home,本
aboutpage,About Us,About Us,私たち
donatepage,Donate,Donate,寄付
blogname,Tess's Ghostpedia,Tatsuka's Ghostpedia,立香のゴーストペディア
ghostlist,Ghost List,Ghost List,ゴーストリスト
ghostname0,Wendy,Wendy,かおり
ghostname1,Powerghost,Poltergeist,パワーゴースト
ghostname2,Kupper,Kappa,クッパー
ghostname3,Shy,Shade,シャイ
ghostname4,Countlanak,Kuntilanak,カウントラナック
ghostname5,Bloody Mariam,Bloody Mariam,ブラッディももえ
ghostname6,Bansheep,Banshee,バンシープ
ghostname7,Weseen,Gwisin,ヴェゼーン
ghostname8,Tall Lady,Hachishakusama,背の高い女性
ghostname9,Willy Wisp,Onibi,炎の幽霊
ghostname10,Conjurer,Conjurer,魔術師の幻影
ghostname11,You-Rei?,Yurei,ヨウ・レイ？
ghostname12,Thundergirl,Rai-onna,雷少女
ghostname13,Suck-ass-bee,Succubus,夢魔
ghostname14,Umbrella,Umbrella,双子の看護師
ghostname15,Photogenic,Photogenic,コーンコーン
ghostname16,Twin Nurses,Twin Nurses,クッキーサキレディ
ghostname17,Cookiesaki Lady,Cookiesaki Lady,サキュバス
ghostname18,Tick-take,Tick-take,トークトーク
ghostname19,Oh-baker,Oh-baker,オー・ベイカー
ghostname20,Darkness,Darkness,暗闇
ghostname21,Manifest,Manifest,マニフェスト
ghostname22,Water Girl,Water Girl,水の女の子
ghostname23,Weeping Doll,Weeping Doll,泣く人形
ghostname24,Doppleganger,Doppleganger,ドッペルゲンガー
ghostname25,Others,Others,その他
ghostnameinfo0,Wendy Ketchum,Kaori Kazama,風間 かおり
ghostnameinfo1,Fiona Fox,Fumi Futaba,双葉 ふみ
ghostnameinfo2,Amanda Webb,Aiko Yagami,谷上 あいこ
ghostnameinfo3,Vera Connor,Sayuri Goda,合田 さユり
ghostnameinfo4,Vampire Wife,Vampire Wife,吸血鬼の妻
ghostnameinfo5,Mariam Hillford,Momoe Hirakawa,平川 百恵
ghostnameinfo6,Singing Ghost,Singing Ghost,歌う幽霊
ghostnameinfo7,Sophie Harper,Shinobu Hanaoka,花岡 しのぶ
