ID,English,Others,Japanese
welcome,Welcome,Welcome!,いらっしゃいませ！
interbuttons,Interact with buttons on left and right to change screen.,Interact with buttons on left and right to change screen.,左右のボタンを操作して画面を切り替えます。
howtoplay,How To Play,Fuck A Ghost,遊び方
howpoint1,A) Find 3 evidences.,A) Find 3 evidences.,A)証拠を 3 つ見つけます。
howpoint2,B) Identify using behaviour.,B) Identify using behaviour.,B)行動を観察する。
howpoint3,C) Select the ghost in journal.,C) Select the ghost in journal.,C)ゴーストを選択します。
howpoint4,D) Capture ghost.,D) Fuck the ghost.,D) 幽霊を捕まえる。
point1explain,"There are 3 evidences(out of 7) you must find using different tools. UV prints, Audio Box, Laser Projection, freezing temps, ghost orbs, writing and EMF Lvl 4. Detailed use of tools is explained later.","There are 3 evidences(out of 7) you must find using different tools. UV prints, Audio Box, Laser Projection, freezing temps, ghost orbs, writing and EMF Lvl 4. Detailed use of tools is explained later.",幽霊が示した証拠を 3/7 見つけなければなりません。すべての証拠はジャーナルの「結論」タブにリストされます。
point2explain,"Finding evidence is not enough. You have to observe ghost behaviour to confirm it's type. Look for something specific like shattered glass, water puddle, etc. For more information on a ghost, check the journal.","Finding evidence is not enough. You have to observe ghost behaviour to confirm it's type. Look for something specific like shattered glass, water puddle, etc. For more information on a ghost, check the journal.",証拠を見つけるだけでは十分ではありません。鏡の幻影、水たまりなどの特定の行動を探します。幽霊に関する詳しい情報は日記で見つけることができます。
point3explain,"Once ghost type is confirmed, select it in the 'conclusion' tab of your journal. It's necessary before trying to banish a ghost.","Once ghost type is confirmed, select it in the 'conclusion' tab of your journal. It's necessary before trying to fuck a ghost.",ゴーストを確認したら、結論タブのゴーストの一覧から選択します。幽霊を捕まえる前に行う必要があります。
point4part1,D) Capture ghost. (Part 1),D) Fucking ghost. (Part 1),D) ゴーストの捕獲 (パート 1)
point41explain,"You can only capture a ghost at the start or during a hunt. Use correct tool shown in the journal for each ghost. Once everything is done correctly, ghost will be knocked down. Press 'Hunt' near it.",You can capture ghost only during a hunt. You must use correct tool to set the mood. Once it's horny it will spread it's ass wide. Press 'Fuck' key near a horny ghost.,幽霊が狩りを始めたら、捕まえることができます。 それをキャプチャするには、正しいツールを使用する必要があります。 ダウンしたら、「くそ」を押してキャプチャします。
point4part2,D) Capture ghost. (Part 2),D) Fucking ghost. (Part 2),D) ゴーストの捕獲 (パート 2)
point42explain,"Once it's down, two bars will appear on the screen. Manage the speed using up/down key and try to keep the knob to heart indicator.",Manage fuck speed using Up/Down and try matching it with the heart indicator.,上下キーでセックス速度を管理し、インジケーターに合わせて速度を維持するようにしてください。
point4part3,D) Capture ghost. (Part 3),D) Fucking ghost. (Part 3),D) ゴーストの捕獲 (パート 3)
point43explain,Try filling this bar by matching the speed. Once it's full ghost is captured. This consumes stamina. If you run out of it ghost will be free to wander.,Like that you must satisfy it before you run out of stamina. If you ran out of it ghost will be disappointed return to it's wandering state.,速度が一致するとクライマックスバーがいっぱいになります。バーがいっぱいになるとゴーストが捕らえられます。スタミナがなくなる前にそれを行ってください。
point4part4,D) Capture ghost. (Part 4),D) Fucking ghost. (Part 4),D) ゴーストの捕獲 (パート 4)
point44explain,"After a ghost is captured, you can leave the site by accessing your computer and pressing 'End Investigation' button.","After sex, it will go to your house for round 2. You can exit site by choosing 'End Investigation' from your computer.",ゴーストが捕らえられた後は、トラック内のコンピューターにアクセスして現場から離れることができます。 幽霊を捕まえていなくても、いつでもサイトを離れることができます。
toolname,Tools,Tools,ツール
tool1name,A) Evidence Tools,A) Evidence Tools,A) 証拠ツール
tool2name,B) Banishment Tools,B) Sex Toys,B) 追放ツール
tool3name,C) Others,C) Others,C)その他のツール
toolobj1,1) Video Camera,1) Video Camera,1)ビデオカメラ
toolobj2,2) Thermometer,2) Hotness-meter,2) 温度計
toolobj3,3) UV Torch,3) UV Flash-light,3)UVトーチ
toolobj4,4) Laser Projector,4) Laser Projector,4)レーザーグリッド
